지역/연도,2010crime,2010population,2010grand,2010population_density,2010foreigner,2010drink,2010smoke,2010academe,2010grdp,2011crime,2011population,2011grand,2011population_density,2011foreigner,2011drink,2011smoke,2011academe,2011grdp,2012crime,2012population,2012grand,2012population_density,2012foreigner,2012drink,2012smoke,2012academe,2012grdp,2013crime,2013population,2013grand,2013population_density,2013foreigner,2013drink,2013smoke,2013academe,2013grdp,2014crime,2014population,2014grand,2014population_density,2014foreigner,2014drink,2014smoke,2014academe,2014grdp,2015crime,2015population,2015grand,2015population_density,2015foreigner,2015drink,2015smoke,2015academe,2015grdp,2016crime,2016population,2016grand,2016population_density,2016foreigner,2016drink,2016smoke,2016academe,2016grdp
구리,7577,196398,15734,5896,1955,11.9,29.5,1.7,288,7460,194881,16375,5851,1997,16.3,26.8,1.8,281,35496,684578,17158,5776,2023,12.4,24.6,1.9,308,39892,1083731,17915,5696,2095,15.1,23.8,1.8,319,36935,1075168,18528,5609,2128,16.8,24.1,1.8,318,40842,1070064,19368,5605,2232,16.6,19.7,1.7,342,38712,1063907,20623,5817,2075,20.8,20.6,1.7,353
구미,19489,404920,25054,658,5292,16.3,29.1,1.8,2696,18797,413446,25636,672,5529,22,27.4,2,2728,8851,355560,26773,678,6128,17.2,27.5,2.1,2899,9503,353100,28038,682,6389,19.3,24.8,1.9,2910,10112,348560,29136,683,7207,17.9,25.5,2,2947,10298,344978,30252,682,7759,18.3,25,1.9,2832,11139,339484,31554,683,7633,18.4,25.8,2,2778
군산,12570,272601,33555,690,3637,20.6,23.1,1.8,791,12074,275659,34921,698,4115,19.7,22.4,1.9,841,20847,518913,36763,705,5090,17.5,27.8,2.2,767,23187,519467,38073,705,5474,16,24.8,2,794,19167,519368,39555,703,5834,19.3,20.9,2,815,20365,519584,41317,703,6631,19.8,20,2,817,19491,516775,42810,701,7272,24.8,22,2.1,812
군포,5687,287833,22052,7916,6092,10.4,22.4,1.3,544,6882,287294,22966,7901,6628,15.8,22.7,1.4,548,27844,715108,24089,7859,7204,11.9,21.8,1.4,505,28396,713666,25080,7845,7524,18.7,21.6,1.5,524,28716,707876,26326,7910,8424,25.6,24.1,1.4,537,36349,697885,27501,7897,10144,18.2,20.3,1.4,539,38986,689859,28530,7824,10154,17.2,20.6,1.5,562
김천,4537,136136,24525,135,2071,19.5,28.9,1,265,4300,136185,24899,135,1959,23.7,24.4,0.9,261,12486,337314,25603,134,2050,21.6,26.2,0.9,327,12929,337071,26385,134,1929,21.8,25.2,0.9,318,11403,340241,27130,134,2015,20.9,23.4,0.9,338,11269,344426,27839,139,2149,22.3,21.9,0.9,393,11826,346739,28488,141,2681,23.6,23.6,0.9,424
김해,26274,503348,36178,1087,13367,17.5,26.1,2.2,1062,22258,507062,37543,1095,15029,24.7,23.3,2.2,1124,30512,969916,39588,1109,17849,17.6,24.5,2.2,1081,32921,990571,41790,1127,17803,18.8,22.9,1.9,1194,33173,1006154,43802,1138,18792,20.3,26.8,1.9,1180,33558,1027546,45896,1141,20920,26.2,22.5,2.2,1262,33954,1039684,47975,1143,23799,17.9,21.4,2.2,1306
남양주,14095,564141,51794,1232,6796,18.7,23.4,1.3,498,14350,578485,55209,1263,7130,26.3,25.9,1.4,530,30029,583713,59429,1309,7334,18.1,26.8,1.3,561,36471,593806,63530,1350,7431,20,27,1.2,641,33613,607346,67875,1389,7844,18.2,21,1.2,648,28290,624395,72414,1427,8609,22.6,23.8,1.2,733,28912,641597,75986,1446,9467,20,24.4,1.3,759
논산,4758,127507,24878,230,2752,23.8,26,1.2,272,4913,127533,25060,230,3137,20.4,24.5,1.1,277,12340,245073,25728,228,3586,22,24.2,1,272,13838,240936,26363,227,3765,21.7,25.3,0.9,288,12417,239109,26997,225,3669,19.9,26.4,0.9,303,13495,238382,27608,224,3951,22.5,24.4,0.9,308,12341,237739,28057,222,5016,23,26.1,1,308
목포,16483,245422,25134,4900,2329,14.1,25.6,2.3,314,13004,244871,26270,4889,2399,14.1,22.7,2,314,15356,429147,27753,4882,2594,8.9,23.8,2.1,321,15726,430976,28908,4762,2740,12.1,20,2.4,324,15953,431112,30179,4720,2930,11,22.1,2.1,320,16388,433937,31203,4622,3430,10.4,21.8,2.3,334,15893,438457,32445,4604,3764,14.6,26.2,2.2,346
부천,32363,875204,63796,16377,18094,13.2,23,1.4,1418,33393,872452,66649,16326,19992,17.2,25.2,1.5,1402,13130,306469,70920,16291,22898,19,25.5,1.5,1434,11755,306539,74733,16175,23487,16.2,25.1,1.4,1486,10065,304117,78455,16010,26527,18.6,24.7,1.4,1469,11224,302061,82410,15887,30496,24.2,21.3,1.5,1514,10718,300479,86218,15932,29648,17.8,19.7,1.5,1567
서산,5998,160468,22858,217,2611,10.3,26.2,1.6,882,4984,161489,23413,218,3004,26,24.4,1.6,898,15053,278341,24195,220,3549,17.6,24.6,1.3,937,15983,278319,25115,224,3867,18.2,25.5,1.6,1008,11270,278098,26187,226,4230,26.3,22.2,1.5,1037,11214,278398,27148,229,4621,19,20.3,1.3,1087,11831,277551,28030,230,5605,22.5,22.7,1.2,1214
성남,30305,980190,84043,6917,21142,10.4,24,1.7,1982,30982,979323,87528,6911,22464,17.9,24.2,1.7,2077,18969,416949,92664,6906,24863,19.2,22.7,1.7,2178,20434,419428,97608,6913,24789,16.8,22.2,1.7,2162,17830,420320,101943,6877,26460,16.1,22.5,1.6,2297,19828,419915,106386,6857,29782,18.4,22.1,1.8,2422,19247,419891,109744,6879,26314,18.5,20.8,1.8,2492
수원,39270,1077535,74853,8905,29129,18.7,24.8,1.8,2373,38394,1088489,78587,8995,32833,20.5,24.8,1.8,2433,24613,581988,84211,9258,37340,13.2,23.6,1.6,2358,25285,591089,89227,9489,37672,19.8,22.7,1.6,2357,26775,598346,94472,9700,43227,20.4,21.9,1.6,2524,27588,605776,99750,9786,51810,18.4,20.3,1.7,2600,25806,617955,103992,9864,50363,18.4,21.8,1.7,2654
순천,13032,272620,31204,301,1837,14.2,21.9,2.1,467,12111,272201,31827,300,1857,19,22.1,2.1,477,13663,292217,33101,301,1981,15.1,20.8,1.9,516,17299,291366,34242,303,2101,16.8,20.1,1.8,502,11650,290900,35594,304,2207,21.4,19.7,1.8,486,14075,290168,36795,306,2325,20.9,18.9,1.9,481,14079,288988,37961,306,2596,23.2,20.7,1.7,509
